"collaboration_group","sequence","title","authid","authname","journal_name","date"
4,"2","Equivalence for flag codes","9334831900","Soler-Escrivà X.","Linear Algebra and Its Applications","2024"
5,"1","On the empirical approximation to quantiles from Lugannani–Rice saddlepoint formula","6508167612","Arevalillo J.M.","Statistics and Probability Letters","2024"
6,"1","Mathematical results on harmonic polynomials","55195761400","Carballosa W.","Communications in Combinatorics and Optimization","2024"
6,"2","Mathematical results on harmonic polynomials","57225075199","Nápoles J.E.","Communications in Combinatorics and Optimization","2024"
6,"3","Mathematical results on harmonic polynomials","55710271900","Rodríguez J.M.","Communications in Combinatorics and Optimization","2024"
6,"4","Mathematical results on harmonic polynomials","58894870100","Rosario O.","Communications in Combinatorics and Optimization","2024"
6,"5","Mathematical results on harmonic polynomials","10241618100","Sigarreta J.M.","Communications in Combinatorics and Optimization","2024"
7,"1","First order structure-preserving perturbation theory for eigenvalues of symplectic matrices: Part II","57193226852","Sosa F.","Linear Algebra and Its Applications","2024"
7,"2","First order structure-preserving perturbation theory for eigenvalues of symplectic matrices: Part II","7006558887","Moro J.","Linear Algebra and Its Applications","2024"
7,"3","First order structure-preserving perturbation theory for eigenvalues of symplectic matrices: Part II","6603694892","Mehl C.","Linear Algebra and Its Applications","2024"
8,"1","A Fast Monte Carlo Algorithm for Evaluating Matrix Functions with Application in Complex Networks","57225978941","Guidotti N.L.","Journal of Scientific Computing","2024"
8,"2","A Fast Monte Carlo Algorithm for Evaluating Matrix Functions with Application in Complex Networks","6701611860","Acebrón J.A.","Journal of Scientific Computing","2024"
8,"3","A Fast Monte Carlo Algorithm for Evaluating Matrix Functions with Application in Complex Networks","58388734600","Monteiro J.","Journal of Scientific Computing","2024"
9,"1","A CORRESPONDENCE BETWEEN SURJECTIVE LOCAL HOMEOMORPHISMS AND A FAMILY OF SEPARATED GRAPHS","6603753492","Ara P.","Discrete and Continuous Dynamical Systems- Series A","2024"
9,"2","A CORRESPONDENCE BETWEEN SURJECTIVE LOCAL HOMEOMORPHISMS AND A FAMILY OF SEPARATED GRAPHS","57202547058","Claramunt J.","Discrete and Continuous Dynamical Systems- Series A","2024"
10,"1","Geometric and spectral analysis on weighted digraphs","6602465441","Lledó F.","Linear Algebra and Its Applications","2024"
10,"2","Geometric and spectral analysis on weighted digraphs","58343103900","Sevillano I.","Linear Algebra and Its Applications","2024"
11,"1","A radial basis function partition of unity method for steady flow simulations","57202997859","Bernal F.","Journal of Computational Physics","2024"
11,"2","A radial basis function partition of unity method for steady flow simulations","41561947100","Safdari-Vaighani A.","Journal of Computational Physics","2024"
11,"3","A radial basis function partition of unity method for steady flow simulations","7202724961","Larsson E.","Journal of Computational Physics","2024"
12,"1","Spectral transformations and second kind polynomials associated with a hermitian linear functional","56165189200","García-Ardila J.C.","Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales - Serie A: Matematicas","2024"
12,"2","Spectral transformations and second kind polynomials associated with a hermitian linear functional","7004452821","Marcellán F.","Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales - Serie A: Matematicas","2024"
13,"1","Shape-Programming in Hyperelasticity Through Differential Growth","58525409200","Ortigosa-Martínez R.","Applied Mathematics and Optimization","2024"
13,"2","Shape-Programming in Hyperelasticity Through Differential Growth","55338962900","Martínez-Frutos J.","Applied Mathematics and Optimization","2024"
13,"3","Shape-Programming in Hyperelasticity Through Differential Growth","6506772604","Mora-Corral C.","Applied Mathematics and Optimization","2024"
13,"4","Shape-Programming in Hyperelasticity Through Differential Growth","7004480339","Pedregal P.","Applied Mathematics and Optimization","2024"
13,"5","Shape-Programming in Hyperelasticity Through Differential Growth","14069164900","Periago F.","Applied Mathematics and Optimization","2024"
14,"1","Matrix product operator algebras II: phases of matter for 1D mixed states","57219789087","Ruiz-de-Alarcón A.","Letters in Mathematical Physics","2024"
14,"2","Matrix product operator algebras II: phases of matter for 1D mixed states","57199236253","Garre-Rubio J.","Letters in Mathematical Physics","2024"
14,"3","Matrix product operator algebras II: phases of matter for 1D mixed states","56503161100","Molnár A.","Letters in Mathematical Physics","2024"
14,"4","Matrix product operator algebras II: phases of matter for 1D mixed states","55909359400","Pérez-García D.","Letters in Mathematical Physics","2024"
15,"1","NON-ABELIAN TODA-TYPE EQUATIONS AND MATRIX VALUED ORTHOGONAL POLYNOMIALS","6504511251","Dea˜ño A.","Proceedings of the American Mathematical Society","2024"
15,"2","NON-ABELIAN TODA-TYPE EQUATIONS AND MATRIX VALUED ORTHOGONAL POLYNOMIALS","57325479600","Morey L.","Proceedings of the American Mathematical Society","2024"
15,"3","NON-ABELIAN TODA-TYPE EQUATIONS AND MATRIX VALUED ORTHOGONAL POLYNOMIALS","15760608000","Román P.","Proceedings of the American Mathematical Society","2024"
16,"1","Adaptive velocity control of an autonomous vehicle using input-error model reference approach","57210565636","Simorgh A.","Journal of the Franklin Institute","2024"
16,"2","Adaptive velocity control of an autonomous vehicle using input-error model reference approach","36816482100","Razminia A.","Journal of the Franklin Institute","2024"
16,"3","Adaptive velocity control of an autonomous vehicle using input-error model reference approach","57216312803","Marashian A.","Journal of the Franklin Institute","2024"
17,"1","A stochastic method for solving time-fractional differential equations","57225978941","Guidotti N.L.","Computers and Mathematics with Applications","2024"
17,"2","A stochastic method for solving time-fractional differential equations","6701611860","Acebrón J.A.","Computers and Mathematics with Applications","2024"
17,"3","A stochastic method for solving time-fractional differential equations","7103134352","Monteiro J.","Computers and Mathematics with Applications","2024"
18,"1","Adaptive multi-stage integration schemes for Hamiltonian Monte Carlo","58079769200","Nagar L.","Journal of Computational Physics","2024"
18,"2","Adaptive multi-stage integration schemes for Hamiltonian Monte Carlo","56461393500","Fernández-Pendás M.","Journal of Computational Physics","2024"
18,"3","Adaptive multi-stage integration schemes for Hamiltonian Monte Carlo","6701308500","Sanz-Serna J.M.","Journal of Computational Physics","2024"
18,"4","Adaptive multi-stage integration schemes for Hamiltonian Monte Carlo","6602614260","Akhmatskaya E.","Journal of Computational Physics","2024"
19,"1","An implicit, conservative electrostatic particle-in-cell algorithm for paraxial magnetic nozzles","57646363900","Jiménez P.","Journal of Computational Physics","2024"
19,"2","An implicit, conservative electrostatic particle-in-cell algorithm for paraxial magnetic nozzles","56250609200","Chacón L.","Journal of Computational Physics","2024"
19,"3","An implicit, conservative electrostatic particle-in-cell algorithm for paraxial magnetic nozzles","55804971600","Merino M.","Journal of Computational Physics","2024"
20,"1","A new perspective on nonholonomic brackets and Hamilton–Jacobi theory","7102467336","de León M.","Journal of Geometry and Physics","2024"
20,"2","A new perspective on nonholonomic brackets and Hamilton–Jacobi theory","56514076700","Lainz M.","Journal of Geometry and Physics","2024"
20,"3","A new perspective on nonholonomic brackets and Hamilton–Jacobi theory","57222113719","López-Gordón A.","Journal of Geometry and Physics","2024"
20,"4","A new perspective on nonholonomic brackets and Hamilton–Jacobi theory","7005957516","Marrero J.C.","Journal of Geometry and Physics","2024"
21,"1","The Statistical Theory of the Angiogenesis Equations","7003546721","Birnir B.","Journal of Nonlinear Science","2024"
21,"2","The Statistical Theory of the Angiogenesis Equations","7006392627","Bonilla L.","Journal of Nonlinear Science","2024"
21,"3","The Statistical Theory of the Angiogenesis Equations","7006690863","Carretero M.","Journal of Nonlinear Science","2024"
21,"4","The Statistical Theory of the Angiogenesis Equations","6506115724","Terragni F.","Journal of Nonlinear Science","2024"
22,"1","Eringen’s model via linearization of nonlocal hyperelasticity","7003268723","Bellido J.C.","Mathematics and Mechanics of Solids","2024"
22,"2","Eringen’s model via linearization of nonlocal hyperelasticity","57215817072","Cueto J.","Mathematics and Mechanics of Solids","2024"
22,"3","Eringen’s model via linearization of nonlocal hyperelasticity","6506772604","Mora-Corral C.","Mathematics and Mechanics of Solids","2024"
23,"1","Magnetic helicity, weak solutions and relaxation of ideal MHD","6603564273","Faraco D.","Communications on Pure and Applied Mathematics","2024"
23,"2","Magnetic helicity, weak solutions and relaxation of ideal MHD","56562586400","Lindberg S.","Communications on Pure and Applied Mathematics","2024"
23,"3","Magnetic helicity, weak solutions and relaxation of ideal MHD","57220356855","Székelyhidi L.","Communications on Pure and Applied Mathematics","2024"
24,"1","Cost-sensitive probabilistic predictions for support vector machines","57201490512","Benítez-Peña S.","European Journal of Operational Research","2024"
24,"2","Cost-sensitive probabilistic predictions for support vector machines","6602777086","Blanquero R.","European Journal of Operational Research","2024"
24,"3","Cost-sensitive probabilistic predictions for support vector machines","7003487567","Carrizosa E.","European Journal of Operational Research","2024"
24,"4","Cost-sensitive probabilistic predictions for support vector machines","36169479700","Ramírez-Cobo P.","European Journal of Operational Research","2024"
25,"1","Nonparametric estimation for a functional-circular regression model","57211446581","Meilán-Vila A.","Statistical Papers","2024"
25,"2","Nonparametric estimation for a functional-circular regression model","35110382200","Crujeiras R.M.","Statistical Papers","2024"
25,"3","Nonparametric estimation for a functional-circular regression model","6508141424","Francisco-Fernández M.","Statistical Papers","2024"
26,"1","Evaporation of binary liquids from a capillary tube","57222178212","Thayyil Raju L.","Journal of Fluid Mechanics","2024"
26,"2","Evaporation of binary liquids from a capillary tube","55931738600","Diddens C.","Journal of Fluid Mechanics","2024"
26,"3","Evaporation of binary liquids from a capillary tube","9845435800","Rodríguez-Rodríguez J.","Journal of Fluid Mechanics","2024"
26,"4","Evaporation of binary liquids from a capillary tube","57209328681","Van Der Linden M.N.","Journal of Fluid Mechanics","2024"
26,"5","Evaporation of binary liquids from a capillary tube","8918489500","Zhang X.","Journal of Fluid Mechanics","2024"
26,"6","Evaporation of binary liquids from a capillary tube","7005589198","Lohse D.","Journal of Fluid Mechanics","2024"
26,"7","Evaporation of binary liquids from a capillary tube","56577741600","Sen U.","Journal of Fluid Mechanics","2024"
27,"1","Self-tuning model predictive control for wake flows","58858516900","Marra L.","Journal of Fluid Mechanics","2024"
27,"2","Self-tuning model predictive control for wake flows","57211446581","Meilán-Vila A.","Journal of Fluid Mechanics","2024"
27,"3","Self-tuning model predictive control for wake flows","37123621500","Discetti S.","Journal of Fluid Mechanics","2024"
28,"1","Price of Anarchy in Algorithmic Matching of Romantic Partners","55390792900","Abeliuk A.","ACM Transactions on Economics and Computation","2024"
28,"2","Price of Anarchy in Algorithmic Matching of Romantic Partners","8905985900","Elbassioni K.","ACM Transactions on Economics and Computation","2024"
28,"3","Price of Anarchy in Algorithmic Matching of Romantic Partners","10239828100","Rahwan T.","ACM Transactions on Economics and Computation","2024"
28,"4","Price of Anarchy in Algorithmic Matching of Romantic Partners","8724466500","Cebrian M.","ACM Transactions on Economics and Computation","2024"
28,"5","Price of Anarchy in Algorithmic Matching of Romantic Partners","23009881000","Rahwan I.","ACM Transactions on Economics and Computation","2024"
29,"1","Influence of immersed particles on the stability of the liquid-liquid interface in a two-layer channel flow","57244345100","Ruiz-Martín D.","Journal of Fluid Mechanics","2024"
29,"2","Influence of immersed particles on the stability of the liquid-liquid interface in a two-layer channel flow","56366022100","Rivero-Rodríguez J.","Journal of Fluid Mechanics","2024"
29,"3","Influence of immersed particles on the stability of the liquid-liquid interface in a two-layer channel flow","12783533200","Sánchez-Sanz M.","Journal of Fluid Mechanics","2024"
30,"1","An Analysis of the WPT Function for Pattern Optimization to Detect Defects in Bearings","57203966199","Zamorano M.","Machines","2024"
30,"2","An Analysis of the WPT Function for Pattern Optimization to Detect Defects in Bearings","58961561800","Gómez M.J.","Machines","2024"
30,"3","An Analysis of the WPT Function for Pattern Optimization to Detect Defects in Bearings","6602639608","Castejon C.","Machines","2024"
31,"1","The Influence of Platen Stiffness on a Specimen’s Failure Initiation Point and the Failure Pattern of Brittle Materials in the Standardized Uniaxial Compression Test","57209316799","Guerrero-Miguel D.J.","Mathematics","2024"
31,"2","The Influence of Platen Stiffness on a Specimen’s Failure Initiation Point and the Failure Pattern of Brittle Materials in the Standardized Uniaxial Compression Test","8669447500","Álvarez-Fernández M.I.","Mathematics","2024"
31,"3","The Influence of Platen Stiffness on a Specimen’s Failure Initiation Point and the Failure Pattern of Brittle Materials in the Standardized Uniaxial Compression Test","57201423643","Gutiérrez-Moizant R.","Mathematics","2024"
31,"4","The Influence of Platen Stiffness on a Specimen’s Failure Initiation Point and the Failure Pattern of Brittle Materials in the Standardized Uniaxial Compression Test","6507761751","Prendes-Gero M.B.","Mathematics","2024"
31,"5","The Influence of Platen Stiffness on a Specimen’s Failure Initiation Point and the Failure Pattern of Brittle Materials in the Standardized Uniaxial Compression Test","55405240700","González-Nicieza C.","Mathematics","2024"
32,"1","Dirac Geometric Approach for the Unimodular Holst Action","56399093000","Díaz B.","Mathematics","2024"
32,"2","Dirac Geometric Approach for the Unimodular Holst Action","6701860499","Villaseñor E.J.S.","Mathematics","2024"
32,"3","Dirac Geometric Approach for the Unimodular Holst Action","58959814500","Salas D.Z.","Mathematics","2024"
33,"1","Group Classification for the Search and Identification of Related Patterns Using a Variety of Multivariate Techniques","57216392995","Boukichou-Abdelkader N.","Computation","2024"
33,"2","Group Classification for the Search and Identification of Related Patterns Using a Variety of Multivariate Techniques","25822526400","Montero-Alonso M.Á.","Computation","2024"
33,"3","Group Classification for the Search and Identification of Related Patterns Using a Variety of Multivariate Techniques","57470388000","Muñoz-García A.","Computation","2024"
34,"1","Universal fluctuations of global geometrical measurements in planar clusters","7801640973","Santalla S.N.","Physical Review E","2024"
34,"2","Universal fluctuations of global geometrical measurements in planar clusters","57219528029","Domenech I.Á.","Physical Review E","2024"
34,"3","Universal fluctuations of global geometrical measurements in planar clusters","57218218473","Villarrubia D.","Physical Review E","2024"
34,"4","Universal fluctuations of global geometrical measurements in planar clusters","6701365519","Cuerno R.","Physical Review E","2024"
34,"5","Universal fluctuations of global geometrical measurements in planar clusters","6507095229","Rodríguez-Laguna J.","Physical Review E","2024"
35,"1","Optimal Allocation of Photovoltaic-Green Distributed Generation for Maximizing the Performance of Electrical Distribution Networks","58723969400","Majeed A.A.","Energies","2024"
35,"2","Optimal Allocation of Photovoltaic-Green Distributed Generation for Maximizing the Performance of Electrical Distribution Networks","6507297082","Abderrahim M.","Energies","2024"
35,"3","Optimal Allocation of Photovoltaic-Green Distributed Generation for Maximizing the Performance of Electrical Distribution Networks","58176448800","Alkhazraji A.A.","Energies","2024"
36,"1","Malleability techniques applications in high-performance computing","7101919482","Carretero J.","International Journal of High Performance Computing Applications","2024"
36,"2","Malleability techniques applications in high-performance computing","58938126100","Suarez E.","International Journal of High Performance Computing Applications","2024"
36,"3","Malleability techniques applications in high-performance computing","57192104187","Schulz M.","International Journal of High Performance Computing Applications","2024"
37,"1","Solar Photovoltaic Cooker with No Electronics or Battery","58706543600","Lecuona-Neumann A.","Energies","2024"
37,"2","Solar Photovoltaic Cooker with No Electronics or Battery","58931958700","Nogueira-Goriba J.I.","Energies","2024"
37,"3","Solar Photovoltaic Cooker with No Electronics or Battery","57202928183","Famiglietti A.","Energies","2024"
37,"4","Solar Photovoltaic Cooker with No Electronics or Battery","36515501000","Rodríguez-Hidalgo M.d.C.","Energies","2024"
37,"5","Solar Photovoltaic Cooker with No Electronics or Battery","55433873700","Boubour J.","Energies","2024"
38,"1","Shape effects in the fluctuations of random isochrones on a square lattice","57218218109","Álvarez Domenech I.","Physical Review E","2024"
38,"2","Shape effects in the fluctuations of random isochrones on a square lattice","6507095229","Rodríguez-Laguna J.","Physical Review E","2024"
38,"3","Shape effects in the fluctuations of random isochrones on a square lattice","6701365519","Cuerno R.","Physical Review E","2024"
38,"4","Shape effects in the fluctuations of random isochrones on a square lattice","16030559900","Córdoba-Torres P.","Physical Review E","2024"
38,"5","Shape effects in the fluctuations of random isochrones on a square lattice","7801640973","Santalla S.N.","Physical Review E","2024"
39,"1","Assessment of extreme records in environmental data through the study of stochastic orders for scale mixtures of skew normal vectors","6508167612","Arevalillo J.M.","Environmental and Ecological Statistics","2024"
39,"2","Assessment of extreme records in environmental data through the study of stochastic orders for scale mixtures of skew normal vectors","55684418400","Navarro J.","Environmental and Ecological Statistics","2024"
40,"1","Quantum-Classical Coexistence in Multi-Band Optical Networks: A Noise Analysis of QKD","58834007600","Mehdizadeh P.","IEEE Communications Letters","2024"
40,"2","Quantum-Classical Coexistence in Multi-Band Optical Networks: A Noise Analysis of QKD","58836069300","Dibaj M.R.","IEEE Communications Letters","2024"
40,"3","Quantum-Classical Coexistence in Multi-Band Optical Networks: A Noise Analysis of QKD","26667535200","Beyranvand H.","IEEE Communications Letters","2024"
40,"4","Quantum-Classical Coexistence in Multi-Band Optical Networks: A Noise Analysis of QKD","48161071600","Arpanaei F.","IEEE Communications Letters","2024"
41,"1","The groupoidal picture of quantum mechanics","57190577826","Ciaglia F.M.","Journal of Geometry and Physics","2024"
41,"2","The groupoidal picture of quantum mechanics","57189052844","Di Cosmo F.","Journal of Geometry and Physics","2024"
41,"3","The groupoidal picture of quantum mechanics","56962708200","Ibort A.","Journal of Geometry and Physics","2024"
41,"4","The groupoidal picture of quantum mechanics","7006706822","Marmo G.","Journal of Geometry and Physics","2024"
42,"1","Parabolicity on Graphs","35099236800","Martínez-Pérez Á.","Results in Mathematics","2024"
42,"2","Parabolicity on Graphs","55710271900","Rodríguez J.M.","Results in Mathematics","2024"
43,"1","Detecting interference between applications and improving the scheduling using malleable application clones","57211281336","Cascajo A.","International Journal of High Performance Computing Applications","2024"
43,"2","Detecting interference between applications and improving the scheduling using malleable application clones","7403594582","Singh D.E.","International Journal of High Performance Computing Applications","2024"
43,"3","Detecting interference between applications and improving the scheduling using malleable application clones","7101919482","Carretero J.","International Journal of High Performance Computing Applications","2024"
44,"1","LMI-Based Tracking Control of the Fuzzy Systems: Smooth Compositions Work Better","57204289509","Sadjadi E.N.","International Journal of Fuzzy Systems","2024"
45,"1","Strong asymptotics of multi-level Hermite-Padé polynomials","57225094283","González Ricardo L.G.","Journal of Mathematical Analysis and Applications","2024"
45,"2","Strong asymptotics of multi-level Hermite-Padé polynomials","6602138608","López Lagomasino G.","Journal of Mathematical Analysis and Applications","2024"
46,"1","Mathematical modeling, analysis and control in soft robotics: a survey","58525409200","Ortigosa-Martínez R.","SeMA Journal","2024"
46,"2","Mathematical modeling, analysis and control in soft robotics: a survey","55338962900","Martínez-Frutos J.","SeMA Journal","2024"
46,"3","Mathematical modeling, analysis and control in soft robotics: a survey","6506772604","Mora-Corral C.","SeMA Journal","2024"
46,"4","Mathematical modeling, analysis and control in soft robotics: a survey","7004480339","Pedregal P.","SeMA Journal","2024"
46,"5","Mathematical modeling, analysis and control in soft robotics: a survey","14069164900","Periago F.","SeMA Journal","2024"
47,"1","Estimation of Interference Correlation in mmWave Cellular Systems","6506347573","Tomasin S.","IEEE Transactions on Wireless Communications","2024"
47,"2","Estimation of Interference Correlation in mmWave Cellular Systems","58305463000","Hasler R.","IEEE Transactions on Wireless Communications","2024"
47,"3","Estimation of Interference Correlation in mmWave Cellular Systems","6701582212","Tulino A.M.","IEEE Transactions on Wireless Communications","2024"
47,"4","Estimation of Interference Correlation in mmWave Cellular Systems","8951304600","Sanchez-Fernandez M.","IEEE Transactions on Wireless Communications","2024"
48,"1","On the lack of compactness in the axisymmetric neo-Hookean model","16066834500","Barchiesi M.","Forum of Mathematics, Sigma","2024"
48,"2","On the lack of compactness in the axisymmetric neo-Hookean model","24338086200","Henao D.","Forum of Mathematics, Sigma","2024"
48,"3","On the lack of compactness in the axisymmetric neo-Hookean model","6506772604","Mora-Corral C.","Forum of Mathematics, Sigma","2024"
48,"4","On the lack of compactness in the axisymmetric neo-Hookean model","56418644300","Rodiac R.","Forum of Mathematics, Sigma","2024"
49,"1","The Art of Cybercrime Community Research","57216346710","Hughes J.","ACM Computing Surveys","2024"
49,"2","The Art of Cybercrime Community Research","37049354000","Pastrana S.","ACM Computing Surveys","2024"
49,"3","The Art of Cybercrime Community Research","56350301400","Hutchings A.","ACM Computing Surveys","2024"
49,"4","The Art of Cybercrime Community Research","35301713700","Afroz S.","ACM Computing Surveys","2024"
49,"5","The Art of Cybercrime Community Research","57188838077","Samtani S.","ACM Computing Surveys","2024"
49,"6","The Art of Cybercrime Community Research","56467478800","Li W.","ACM Computing Surveys","2024"
49,"7","The Art of Cybercrime Community Research","58187279200","Santana Marin E.","ACM Computing Surveys","2024"
50,"1","Engineering sustainable digital transformation projects immune to technical debt","6506529394","Sanchez-Segura M.I.","Kybernetes","2024"
50,"2","Engineering sustainable digital transformation projects immune to technical debt","12790283300","Medina-Dominguez F.","Kybernetes","2024"
50,"3","Engineering sustainable digital transformation projects immune to technical debt","57191275610","Dugarte-Peña G.L.","Kybernetes","2024"
50,"4","Engineering sustainable digital transformation projects immune to technical debt","12790343300","de Amescua-Seco A.","Kybernetes","2024"
50,"5","Engineering sustainable digital transformation projects immune to technical debt","57942023600","González Cruz R.","Kybernetes","2024"
51,"1","Liouville property and quasi-isometries on negatively curved Riemannian surfaces","57201817843","Granados A.","Proceedings of the Royal Society of Edinburgh Section A: Mathematics","2024"
51,"2","Liouville property and quasi-isometries on negatively curved Riemannian surfaces","6701636516","Pestana D.","Proceedings of the Royal Society of Edinburgh Section A: Mathematics","2024"
51,"3","Liouville property and quasi-isometries on negatively curved Riemannian surfaces","6506330354","Portilla A.","Proceedings of the Royal Society of Edinburgh Section A: Mathematics","2024"
51,"4","Liouville property and quasi-isometries on negatively curved Riemannian surfaces","55710271900","Rodríguez J.M.","Proceedings of the Royal Society of Edinburgh Section A: Mathematics","2024"
51,"5","Liouville property and quasi-isometries on negatively curved Riemannian surfaces","6507103007","Tourís E.","Proceedings of the Royal Society of Edinburgh Section A: Mathematics","2024"
52,"1","Design and Construction of a Prototype of an Assisting Device for Arm Exercise","7102783688","Ceccarelli M.","Machines","2024"
52,"2","Design and Construction of a Prototype of an Assisting Device for Arm Exercise","57196907781","Sanz S.","Machines","2024"
52,"3","Design and Construction of a Prototype of an Assisting Device for Arm Exercise","35951455400","Díaz V.","Machines","2024"
52,"4","Design and Construction of a Prototype of an Assisting Device for Arm Exercise","57191270930","Russo M.","Machines","2024"
53,"1","Contests in two fronts","57316854600","de Miguel-Arribas A.","Chaos, Solitons and Fractals","2024"
53,"2","Contests in two fronts","58080406000","Morón-Vidal J.","Chaos, Solitons and Fractals","2024"
53,"3","Contests in two fronts","6701452595","Floría L.M.","Chaos, Solitons and Fractals","2024"
53,"4","Contests in two fronts","26322440600","Gracia-Lázaro C.","Chaos, Solitons and Fractals","2024"
53,"5","Contests in two fronts","7201643107","Hernández L.","Chaos, Solitons and Fractals","2024"
53,"6","Contests in two fronts","7004893698","Moreno Y.","Chaos, Solitons and Fractals","2024"
54,"1","Limited Range Extrapolation with Quantitative Bounds and Applications","56937702800","Cao M.","Journal of Fourier Analysis and Applications","2024"
54,"2","Limited Range Extrapolation with Quantitative Bounds and Applications","54793055600","Liu H.","Journal of Fourier Analysis and Applications","2024"
54,"3","Limited Range Extrapolation with Quantitative Bounds and Applications","36523974500","Si Z.","Journal of Fourier Analysis and Applications","2024"
54,"4","Limited Range Extrapolation with Quantitative Bounds and Applications","7005793053","Yabuta K.","Journal of Fourier Analysis and Applications","2024"
55,"1","Stress Intensity Factor equations for incipient transverse external annular eccentric cracks contained in a shaft under bending","55314895600","Rubio P.","Theoretical and Applied Fracture Mechanics","2024"
55,"2","Stress Intensity Factor equations for incipient transverse external annular eccentric cracks contained in a shaft under bending","56259915100","Muñoz-Abella B.","Theoretical and Applied Fracture Mechanics","2024"
55,"3","Stress Intensity Factor equations for incipient transverse external annular eccentric cracks contained in a shaft under bending","58793224000","Guijarro D.","Theoretical and Applied Fracture Mechanics","2024"
55,"4","Stress Intensity Factor equations for incipient transverse external annular eccentric cracks contained in a shaft under bending","7007108080","Rubio L.","Theoretical and Applied Fracture Mechanics","2024"
55,"5","Stress Intensity Factor equations for incipient transverse external annular eccentric cracks contained in a shaft under bending","6603921212","Pennacchi P.","Theoretical and Applied Fracture Mechanics","2024"
56,"1","Dual license plate recognition and visual features encoding for vehicle identification","58035287800","Ramajo-Ballester Á.","Robotics and Autonomous Systems","2024"
56,"2","Dual license plate recognition and visual features encoding for vehicle identification","58035389000","Armingol Moreno J.M.","Robotics and Autonomous Systems","2024"
56,"3","Dual license plate recognition and visual features encoding for vehicle identification","57225091639","de la Escalera Hueso A.","Robotics and Autonomous Systems","2024"
57,"1","Holistic analysis to reduce energy poverty in social dwellings in southern Spain considering envelope, systems, operational pattern, and income levels","57201717825","Bienvenido-Huertas D.","Energy","2024"
57,"2","Holistic analysis to reduce energy poverty in social dwellings in southern Spain considering envelope, systems, operational pattern, and income levels","57204012665","Sánchez-García D.","Energy","2024"
57,"3","Holistic analysis to reduce energy poverty in social dwellings in southern Spain considering envelope, systems, operational pattern, and income levels","55347352500","Rubio-Bellido C.","Energy","2024"
57,"4","Holistic analysis to reduce energy poverty in social dwellings in southern Spain considering envelope, systems, operational pattern, and income levels","58757626800","Marín-García D.","Energy","2024"
58,"1","The Cauchy–Dirichlet problem for the fast diffusion equation on bounded domains","8420871000","Bonforte M.","Nonlinear Analysis, Theory, Methods and Applications","2024"
58,"2","The Cauchy–Dirichlet problem for the fast diffusion equation on bounded domains","23024757100","Figalli A.","Nonlinear Analysis, Theory, Methods and Applications","2024"
59,"1","Convergence in relative error for the porous medium equation in a tube","57194048452","Audrito A.","Annali di Matematica Pura ed Applicata","2024"
59,"2","Convergence in relative error for the porous medium equation in a tube","57212930820","Gárriz A.","Annali di Matematica Pura ed Applicata","2024"
59,"3","Convergence in relative error for the porous medium equation in a tube","6602186849","Quirós F.","Annali di Matematica Pura ed Applicata","2024"
60,"1","Joint probabilities under expected value constraints, transportation problems, maximum entropy in the mean","6701665186","Gzyl H.","Statistica Neerlandica","2024"
60,"2","Joint probabilities under expected value constraints, transportation problems, maximum entropy in the mean","16039682800","Mayoral S.","Statistica Neerlandica","2024"
